match_code,match_date,player_name,position,champion,kills,deaths,assists,cs,gold,damage_dealt,tower_damage,healing,damage_taken,vision_score,wards_placed,wards_destroyed,control_wards_purchased
20250519-3,2025-05-19,shosho ebi,,,2,2,13,31,8476,20758,727,2781,13116,60,28,6,7
20250519-3,2025-05-19,Ity369,,,11,8,5,135,10946,21518,4182,2496,17366,12,8,1,0
20250519-3,2025-05-19,네전공은나,,,4,1,5,151,8763,12677,3417,1188,8397,12,6,2,0
20250519-3,2025-05-19,이월길각 연구원,,,9,2,3,207,13450,12204,10506,7832,16570,13,8,2,0
20250519-3,2025-05-19,Pundeng,,,9,1,13,193,12553,20397,6151,17493,27939,16,2,3,0
20250519-3,2025-05-19,헤음,,,3,7,8,27,7537,9171,102,1878,17740,44,12,5,3
20250519-3,2025-05-19,진자힘들어,,,4,7,3,155,9838,16422,121,9843,26852,18,4,1,3
20250519-3,2025-05-19,Sony AZR V,,,2,7,6,129,8067,11665,3505,3287,18140,12,7,0,0
20250519-3,2025-05-19,Chefchoi,,,4,9,1,121,8883,14002,2364,3174,27496,14,5,3,3
20250519-3,2025-05-19,Happier,,,1,5,0,167,7824,4552,3646,2154,18896,13,8,2,4
