match_code,match_date,player_name,position,champion,kills,deaths,assists,pentakill,first_blood,cs,gold,damage_dealt,tower_damage,healing,damage_taken,vision_score,wards_placed,wards_destroyed,control_wards_purchased
20250712-2,2025-05-19,shosho ebi,,,4,12,9,0,0,208,12377,23237,0,26,47735,39,6,8,5
20250712-2,2025-05-19,man from nowhere,,,0,12,17,0,0,39,8239,8869,842,939,36481,70,38,4,5
20250712-2,2025-05-19,26 1 49 1 52 8,,,4,9,11,0,0,125,10068,25534,2789,13098,31886,11,8,0,0
20250712-2,2025-05-19,삼 체 파 괴 자,,,6,7,8,0,0,281,16015,45055,8212,485,79393,18,10,2,0
20250712-2,2025-05-19,네전공은나,,,12,9,7,0,0,188,15730,35206,522,22804,30695,24,12,3,1
20250712-2,2025-05-19,광야의 정글러,,,16,4,18,0,0,183,15095,44672,3646,5497,48547,40,14,5,4
20250712-2,2025-05-19,Sony A7R V,,,6,3,18,0,0,187,13660,58981,4008,31142,35681,19,12,0,1
20250712-2,2025-05-19,bcsexyguy,,,6,7,12,0,0,187,12979,33637,4554,16,22355,7,3,2,0
20250712-2,2025-05-19,진짜힘들어,,,0,7,30,0,0,31,9808,37951,3857,413,48683,22,13,0,1
20250712-2,2025-05-19,48 1 26 1 97 8,,,20,5,1,0,0,19,162,11915,468,7780,27198,109,38,14,7
